Metadata_Plate,Metadata_Well,Metadata_Batch,Metadata_cachedir,Metadata_montagedir
BR00117010,r06c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r07c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r08c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r09c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r10c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r11c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r12c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r13c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r14c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r15c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r16c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r01c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117011,r02c01,2020_11_04_CPJUMP1,image_cache,montage
